Mfg,Mod,Wavelength,Eyewear Requirement,MinimumWL,MaximumWL,MinOD,RecNum,Lens
A.R.C.,Fox 980  (12W),NA,980,970,990,NA,Compatible Lens 1,Gi1
A.R.C.,Fox 980  (12W),NA,980,970,990,NA,Compatible Lens 2,Pi4
A.R.C.,Wolf 980,NA,980,970,990,NA,Compatible Lens 1,Gi1
A.R.C.,Wolf 980,NA,980,970,990,NA,Compatible Lens 2,Pi4
A.R.C.,Wolf 1470,NA,1470,1460,1480,NA,Compatible Lens 1,Gi1
A.R.C.,Wolf 1470,NA,1470,1460,1480,NA,Compatible Lens 2,Pi5
A.R.C.,Fox 810  (8W),NA,810,800,820,NA,Compatible Lens 1,Pi1
A.R.C.,Fox 810  (8W),NA,810,800,820,NA,Compatible Lens 2,GiT5
A.R.C.,Wolf 455 TruBlue,NA,455,450,460,NA,Compatible Lens 1,Pi3
A.R.C.,Wolf 455 TruBlue,NA,455,450,460,NA,Compatible Lens 2,Pi18
A.R.C.,Fox 514  (1.5W),NA,514,510,520,NA,Compatible Lens 1,Pi3
A.R.C.,Fox 514  (1.5W),NA,514,510,520,NA,Compatible Lens 2,Pi18
Adler,neoV,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Adler,neoV,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Adler,neoV,NA,1470,1460,1480,NA,Compatible Lens 1,Gi1
Adler,neoV,NA,1470,1460,1480,NA,Compatible Lens 2,Pi5
Adler,neoV,NA,808,790,810,NA,Compatible Lens 1,Pi1
Adler,neoV,NA,808,790,810,NA,Compatible Lens 2,GiT5
Alcon,2300,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Alcon,2300,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Alcon,2500,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Alcon,2500,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Alcon,2500LE,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Alcon,2500LE,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Alcon,3000LE,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Alcon,3000LE,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Alcon,Eyelite (532 Diode),NA,532,520,540,NA,Compatible Lens 1,GiT1
Alcon,Eyelite (532 Diode),NA,532,520,540,NA,Compatible Lens 2,Pi3
Alcon,PurePoint (532 Diode),NA,532,520,540,NA,Compatible Lens 1,GiT1
Alcon,PurePoint (532 Diode),NA,532,520,540,NA,Compatible Lens 2,Pi3
Allmed/Lisa Laser,Revolix,NA,2013,2010,2020,NA,Compatible Lens 1,Gi1
Allmed/Lisa Laser,Revolix,NA,2013,2010,2020,NA,Compatible Lens 2,Pi23
Allmed/Lisa Laser,Revolix Jr. (15 Watt),NA,2013,2010,2020,NA,Compatible Lens 1,Gi1
Allmed/Lisa Laser,Revolix Jr. (15 Watt),NA,2013,2010,2020,NA,Compatible Lens 2,Pi23
Allmed/Lisa Laser,Sphinx,NA,2013,2010,2020,NA,Compatible Lens 1,Gi1
Allmed/Lisa Laser,Sphinx,NA,2013,2010,2020,NA,Compatible Lens 2,Pi23
Alma,Pixel CO2,10600,10600nm (OD 5),10599,10601,5,Compatible Lens 1,Pi11
Alma,Excimer,308,308nm (100% UV),200,400,NA,Compatible Lens 1,Pi11
Alma,Excimer,308,308nm (100% UV),200,400,NA,Compatible Lens 2,Pi14
Alma,Hybrid,10600,"1570nm (OD 3), 10600nm (OD 3)",1560,1580,NA,Compatible Lens 1,Pi23
Alma,Hybrid,10600,"1570nm (OD 3), 10600nm (OD 3)",1560,1580,NA,Compatible Lens 2,Gi1
Alma,Hybrid,1570,"1570nm (OD 3), 10600nm (OD 3)",1560,1580,NA,Compatible Lens 1,Pi23
Alma,Hybrid,1570,"1570nm (OD 3), 10600nm (OD 3)",1560,1580,NA,Compatible Lens 2,Gi1
Alma,Beautiful,1470,1470nm (DL 3),1460,1480,NA,Compatible Lens 1,Pi23
Alma,Beautiful,1470,1470nm (DL 3),1460,1480,NA,Compatible Lens 2,Gi1
Alma,Harmony,532,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 1,Pi3
Alma,Harmony,532,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 2,GiT1
Alma,Harmony,532,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Special Case,Pi14
Alma,Harmony,1064,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 1,Pi3
Alma,Harmony,1064,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 2,GiT1
Alma,Harmony,1064,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Special Case,Pi14
Alma,Harmony,2940,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 1,Pi3
Alma,Harmony,2940,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 2,GiT1
Alma,Harmony,2940,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Special Case,Pi14
Alma,Harmony,IPL,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 1,Pi3
Alma,Harmony,IPL,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Compatible Lens 2,GiT1
Alma,Harmony,IPL,"532nm (OD 5), 1064nm (OD 7), 2940 (OD 6), 420-950nm (IPL)",530,2950,NA,Special Case,Pi14
Alma,PicoClear,532,"532nm, 1064nm (OD 6)",530,1070,NA,Compatible Lens 1,Pi3
Alma,PicoClear,532,"532nm, 1064nm (OD 6)",530,1070,NA,Compatible Lens 2,GiT1
Alma,PicoClear,1064,"532nm, 1064nm (OD 6)",530,1070,NA,Compatible Lens 1,Pi3
Alma,PicoClear,1064,"532nm, 1064nm (OD 6)",530,1070,NA,Compatible Lens 2,GiT1
Alma,Platinum/Titanium,755,"750-760nm (OD 4), 810 (OD 4), 1064nm (OD 4)",745,1070,NA,Compatible Lens 1,Pi4
Alma,Platinum/Titanium,755,"750-760nm (OD 4), 810 (OD 4), 1064nm (OD 4)",745,1070,NA,Compatible Lens 2,GiT7
Alma,Platinum/Titanium,810,"750-760nm (OD 4), 810 (OD 4), 1064nm (OD 4)",745,1070,NA,Compatible Lens 1,Pi4
Alma,Platinum/Titanium,810,"750-760nm (OD 4), 810 (OD 4), 1064nm (OD 4)",745,1070,NA,Compatible Lens 2,GiT7
Alma,Platinum/Titanium,1064,"750-760nm (OD 4), 810 (OD 4), 1064nm (OD 4)",745,1070,NA,Compatible Lens 1,Pi4
Alma,Platinum/Titanium,1064,"750-760nm (OD 4), 810 (OD 4), 1064nm (OD 4)",745,1070,NA,Compatible Lens 2,GiT7
Alma,Soprano ICE,755,"750-890nm (OD 7), 600-1800 (IPL)",745,895,NA,Compatible Lens 1,Pi4
Alma,Soprano ICE,755,"750-890nm (OD 7), 600-1800 (IPL)",745,895,NA,Compatible Lens 2,GiT5
Alma,Soprano ICE,755,"750-890nm (OD 7), 600-1800 (IPL)",745,895,NA,Special Case,Pi14
Alma,Hybrid,NA,10600/1570,1550,1580,NA,Compatible Lens 1,Gi1
Alma,Soprano ICE Platinum,NA,755/810/1064,755,1070,NA,Compatible Lens 1,GiT5
Alma,Soprano ICE Platinum,NA,755/810/1064,755,1070,NA,Compatible Lens 2,Pi4
Alma,Soprano Titanium,NA,755/810/1064,755,1070,NA,Compatible Lens 1,GiT5
Alma,Soprano Titanium,NA,755/810/1064,755,1070,NA,Compatible Lens 2,Pi4
Alma,FemiLift,NA,10600,10599,10601,NA,Compatible Lens 1,Pi11
Alma,FemiLift,NA,10600,10599,10601,NA,Compatible Lens 2,Gi1
Alma,Pixel,NA,70 Watt,NA,NA,NA,Compatible Lens 1,Pi11
Alma,Pixel,NA,70 Watt,NA,NA,NA,Compatible Lens 2,Gi1
Alma,Soprano ICE,NA,755/810,750,810,NA,Compatible Lens 1,Pi16
Alma,Soprano ICE,NA,755/810,750,810,NA,Compatible Lens 2,GiT5
AMD,Picasso+,NA,800-820nm OD 5,NA,NA,NA,Compatible Lens 1,Pi1
AMD,Picasso+ Lite,NA,800-820nm OD 5,NA,NA,NA,Compatible Lens 1,Pi1
AMD,Clarion,NA,800-820nm OD 5,NA,NA,NA,Compatible Lens 1,Pi1
American Medical Systems,Aura XP,NA,1064/532,530,1070,NA,Compatible Lens 1,Pi3
American Medical Systems,Aura XP,NA,1064/532,530,1070,NA,Compatible Lens 2,GiT1
AMS/Laserscope,Aura XP,NA,1064/532,530,1070,NA,Compatible Lens 1,Pi3
AMS/Laserscope,Aura XP,NA,1064/532,530,1070,NA,Compatible Lens 2,GiT1
AngioDynamic Biolitec,Ceralas D15,NA,980,970,990,NA,Compatible Lens 1,Gi1
AngioDynamic Biolitec,Ceralas D15,NA,980,970,990,NA,Compatible Lens 2,Pi23
AngioDynamic Biolitec,Ceralas E,NA,980,970,990,NA,Compatible Lens 1,Gi1
AngioDynamic Biolitec,Ceralas E,NA,980,970,990,NA,Compatible Lens 2,Pi4
AngioDynamic Biolitec,Ceralas PDT,NA,630,620,640,We can add OD 4 620-640nm into spec,Compatible Lens 1,Pi7
AngioDynamics,Precision 980,NA,980,970,990,NA,Compatible Lens 1,Gi1
AngioDynamics,Precision 980,NA,980,970,990,NA,Compatible Lens 2,Pi4
AngioDynamics,Venacure 1470,NA,1470,1460,1480,NA,Compatible Lens 1,Gi1
AngioDynamics,Venacure 1470,NA,1470,1460,1480,NA,Compatible Lens 2,Pi5
AngioDynamics,VenaCure EVLT 1470 Pro,NA,1470,1460,1480,NA,Compatible Lens 1,Gi1
AngioDynamics,VenaCure EVLT 1470 Pro,NA,1470,1460,1480,NA,Compatible Lens 2,Pi5
AngioDynamics,Delta 15,NA,810,800,820,NA,Compatible Lens 1,Pi1
AngioDynamics,Delta 15,NA,810,800,820,NA,Compatible Lens 2,GiT5
AngioDynamics,Delta 30,NA,810,800,820,NA,Compatible Lens 1,Pi1
AngioDynamics,Delta 30,NA,810,800,820,NA,Compatible Lens 2,GiT5
AngioDynamics VenaCure,VenaCure 1470 Pro,NA,1470,1460,1480,NA,Compatible Lens 1,Gi1
AngioDynamics VenaCure,VenaCure 1470 Pro,NA,1470,1460,1480,NA,Compatible Lens 2,Pi5
Biolase,Epic 10 (10W Dental laser),NA,940,935,945,NA,Compatible Lens 1,Pi4
Biolase,Epic 10 (10W Dental laser),NA,940,935,945,NA,Compatible Lens 2,GiT5
Biolase,ezLase 940 (7W Dental laser),NA,940,935,945,NA,Compatible Lens 1,Pi4
Biolase,ezLase 940 (7W Dental laser),NA,940,935,945,NA,Compatible Lens 2,GiT5
Biolase,Waterlase iPlus,NA,2780nm,NA,NA,NA,Compatible Lens 1,Gi1
Biolase,Waterlase Express,NA,2780nm,NA,NA,NA,Compatible Lens 1,Gi1
Biolase,Epic X,NA,940nm +/- 10nm,NA,NA,NA,Compatible Lens 1,Pi17
Biolase,Epic Pro,NA,"940nm +/- 20nm, 980nm +/- 20nm",NA,NA,NA,Compatible Lens 1,Pi17
Biolase,Epic Hygiene,NA,980nm +/- 10nm,NA,NA,NA,Compatible Lens 1,Pi17
Biolitec,Leonardo Mini 1470,NA,1470,1460,1480,NA,Compatible Lens 1,Gi1
Biolitec,Leonardo Mini 1470,NA,1470,1460,1480,NA,Compatible Lens 2,Pi5
Biolitec,Leonardo FPS,NA,1064 - 20Watt,1060,1070,NA,Compatible Lens 1,Gi1
Biolitec,Leonardo FPS,NA,1064 - 20Watt,1060,1070,NA,Compatible Lens 2,Pi8
Biolitec,Leonardo Dual 100,NA,980/1470,940,1470,NA,Compatible Lens 1,Gi1
Biolitec,Leonardo Dual 100,NA,980/1470,940,1470,NA,Compatible Lens 2,GiT5
Biolitec,LeonardoMini Dual,NA,980/1470,940,1470,NA,Compatible Lens 1,Gi1
Biolitec,LeonardoMini Dual,NA,980/1470,940,1470,NA,Compatible Lens 2,GiT5
Biolitec,Leonardo Dual 200,NA,980/1471,940,1475,NA,Compatible Lens 1,Gi1
Biolitec,Leonardo Dual 200,NA,980/1471,940,1475,NA,Compatible Lens 2,GiT5
Biolitec,Leonardo Dual 45,NA,980/1472,940,1475,NA,Compatible Lens 1,Gi1
Biolitec,Leonardo Dual 45,NA,980/1472,940,1475,NA,Compatible Lens 2,GiT5
Boston Scientific / Laserscope,Greenlight HPS,NA,532,520,540,NA,Compatible Lens 1,GiT1
Boston Scientific / Laserscope,Greenlight HPS,NA,532,520,540,NA,Compatible Lens 2,Pi3
Boston Scientific / Laserscope,Greenlight PV,NA,532,520,540,NA,Compatible Lens 1,GiT1
Boston Scientific / Laserscope,Greenlight PV,NA,532,520,540,NA,Compatible Lens 2,Pi3
Brassler,BLU Dental Microlaser,NA,810nm,NA,NA,NA,Compatible Lens 1,Pi1
BVI,E4,NA,810,800,820,NA,Compatible Lens 1,Pi1
BVI,E4,NA,810,800,820,NA,Compatible Lens 2,GiT5
BVI/Endo Optiks,E2,NA,810,800,820,NA,Compatible Lens 1,Pi1
BVI/Endo Optiks,E2,NA,810,800,820,NA,Compatible Lens 2,GiT5
Candela,GentleYAG family,1064,1064nm (OD 6.3),1060,1070,6,Compatible Lens 1,Gi1
Candela,GentleYAG family,1064,1064nm (OD 6.3),1060,1070,6,Compatible Lens 2,Pi8
Candela,Nordlys Ydun,IPL,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Compatible Lens 1,Gi1
Candela,Nordlys Ydun,IPL,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Compatible Lens 2,Pi4
Candela,Nordlys Ydun,IPL,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Special Case,Pi14
Candela,Nordlys Ydun,1064,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Compatible Lens 1,Gi1
Candela,Nordlys Ydun,1064,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Compatible Lens 2,Pi4
Candela,Nordlys Ydun,1064,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Special Case,Pi14
Candela,Nordlys Ydun,1550,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Compatible Lens 1,Gi1
Candela,Nordlys Ydun,1550,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Compatible Lens 2,Pi4
Candela,Nordlys Ydun,1550,"1064nm (OD 4), 1550nm (OD 2), 400-950nm (IPL)",1060,1550,1,Special Case,Pi14
Candela,Vbeam Perfecta,595,592-596nm (OD 5.2),590,600,5,Compatible Lens 1,Gi2
Candela,Vbeam Perfecta,595,592-596nm (OD 5.2),590,600,5,Compatible Lens 2,Pi7
Candela,Vbeam Prima,595,"592-596nm (OD 5), 1064nm (OD 5)",590,1070,5,Compatible Lens 1,Gi2.Gi1
Candela,Vbeam Prima,595,"592-596nm (OD 5), 1064nm (OD 5)",590,1070,5,Compatible Lens 2,Pi22
Candela,Vbeam Prima,1064,"592-596nm (OD 5), 1064nm (OD 5)",590,1070,5,Compatible Lens 1,Gi2.Gi1
Candela,Vbeam Prima,1064,"592-596nm (OD 5), 1064nm (OD 5)",590,1070,5,Compatible Lens 2,Pi22
Candela,ALEX TriVantage,532,"532nm (OD 6), 745-765nm (OD 6.8), 1064nm (OD 5.7)",530,1070,5.5,Compatible Lens 1,GiT1
Candela,ALEX TriVantage,532,"532nm (OD 6), 745-765nm (OD 6.8), 1064nm (OD 5.7)",530,1070,5.5,Compatible Lens 2,Pi18
Candela,ALEX TriVantage,755,"532nm (OD 6), 745-765nm (OD 6.8), 1064nm (OD 5.7)",530,1070,5.5,Compatible Lens 1,GiT1
Candela,ALEX TriVantage,755,"532nm (OD 6), 745-765nm (OD 6.8), 1064nm (OD 5.7)",530,1070,5.5,Compatible Lens 2,Pi18
Candela,ALEX TriVantage,1064,"532nm (OD 6), 745-765nm (OD 6.8), 1064nm (OD 5.7)",530,1070,5.5,Compatible Lens 1,GiT1
Candela,ALEX TriVantage,1064,"532nm (OD 6), 745-765nm (OD 6.8), 1064nm (OD 5.7)",530,1070,5.5,Compatible Lens 2,Pi18
Candela,PICOWAY,532,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 1,GiT1
Candela,PICOWAY,532,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 2,Pi18
Candela,PICOWAY,730,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 1,GiT1
Candela,PICOWAY,730,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 2,Pi18
Candela,PICOWAY,785,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 1,GiT1
Candela,PICOWAY,785,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 2,Pi18
Candela,PICOWAY,1064,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 1,GiT1
Candela,PICOWAY,1064,"Picosecond - 532nm (OD 6.6), 730nm (OD 4), 785nm (OD 4), 1064nm (OD 6)",530,1070,4,Compatible Lens 2,Pi18
Candela,GMAX Pro,755,"755nm (OD 5.8), 1064nm (OD 6.3)",750,1070,5.5,Compatible Lens 1,GiT5
Candela,GMAX Pro,755,"755nm (OD 5.8), 1064nm (OD 6.3)",750,1070,5.5,Compatible Lens 2,Pi4
Candela,GMAX Pro,755,"755nm (OD 5.8), 1064nm (OD 6.3)",750,1070,5.5,Special Case,Pi14
Candela,GMAX Pro,1064,"755nm (OD 5.8), 1064nm (OD 6.3)",750,1070,5.5,Compatible Lens 1,GiT5
Candela,GMAX Pro,1064,"755nm (OD 5.8), 1064nm (OD 6.3)",750,1070,5.5,Compatible Lens 2,Pi4
Candela,GMAX Pro,1064,"755nm (OD 5.8), 1064nm (OD 6.3)",750,1070,5.5,Special Case,Pi14
Candela,ELOS PLUS,IPL,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Compatible Lens 1,GiT5
Candela,ELOS PLUS,IPL,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Compatible Lens 2,Pi4
Candela,ELOS PLUS,IPL,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Special Case,Pi14
Candela,CO2RE,10600,10600nm (OD 5),10599,10601,5,Compatible Lens 1,Pi11
Candela,GentleLASE family,755,745-765nm (OD 5.8),740,770,5.5,Compatible Lens 1,Pi16
Candela,GentleLASE family,755,745-765nm (OD 5.8),740,770,5.5,Compatible Lens 2,GiT5
Candela,ELOS PLUS,810,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Compatible Lens 1,Pi4
Candela,ELOS PLUS,810,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Compatible Lens 2,GiT5
Candela,ELOS PLUS,810,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Special Case,Pi14
Candela,ELOS PLUS,920,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Compatible Lens 1,Pi4
Candela,ELOS PLUS,920,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Compatible Lens 2,GiT5
Candela,ELOS PLUS,920,"800-825nm (OD 6), 910-920nm (OD 5), 400-2000nm (IPL)",790,930,1,Special Case,Pi14
Candela,Gentle YAG,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Candela,Gentle YAG,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Candela,Mini GentleYAG,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Candela,Mini GentleYAG,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Candela,Smoothbeam,NA,1450,1440,1460,NA,Compatible Lens 1,Gi1
Candela,Smoothbeam,NA,1450,1440,1460,NA,Compatible Lens 2,Pi5
Candela,SmoothPeel,NA,2940,2930,2950,NA,Compatible Lens 1,Gi1
Candela,SmoothPeel,NA,2940,2930,2950,NA,Compatible Lens 2,Pi10
Candela,Ydun,NA,1550 Fractional,1540,1560,NA,Compatible Lens 1,Gi1
Candela,Ydun,NA,1550 Fractional,1540,1560,NA,Compatible Lens 2,Pi5
Candela,Nordlys,NA,1550/1064/1940,1060,1950,NA,Compatible Lens 1,Gi1
Candela,Nordlys,NA,1550/1064/1940,1060,1950,NA,Compatible Lens 2,GiT5
Candela,Frax Pro,NA,1550/1940,1550,1940,NA,Compatible Lens 1,Gi1
Candela,Frax Pro,NA,1550/1940,1550,1940,NA,Compatible Lens 2,GiT5
Candela,Vbeam,NA,595,590,600,NA,Compatible Lens 1,Gi2
Candela,Vbeam,NA,595,590,600,NA,Compatible Lens 2,Pi7
Candela,Vbeam Platinum,NA,595,590,600,NA,Compatible Lens 1,Gi2
Candela,Vbeam Platinum,NA,595,590,600,NA,Compatible Lens 2,Pi7
Candela,CO2RE Intima,NA,10600 60Watt/GYN,10599,10601,NA,Compatible Lens 1,Pi11
Candela,CO2RE Intima,NA,10600 60Watt/GYN,10599,10601,NA,Compatible Lens 2,Gi1
Candela,CO2RE,NA,60 Watt,NA,NA,NA,Compatible Lens 1,Pi11
Candela,CO2RE,NA,60 Watt,NA,NA,NA,Compatible Lens 2,Gi1
Candela,Alexlazr,NA,755,750,760,NA,Compatible Lens 1,Pi16
Candela,Alexlazr,NA,755,750,760,NA,Compatible Lens 2,GiT1
Candela,GentleLase,NA,755,750,760,NA,Compatible Lens 1,Pi16
Candela,GentleLase,NA,755,750,760,NA,Compatible Lens 2,GiT1
Candela,Gentlelase Plus,NA,755,750,760,NA,Compatible Lens 1,Pi16
Candela,Gentlelase Plus,NA,755,750,760,NA,Compatible Lens 2,GiT1
Candela,Mini Gentlelase,NA,755,750,760,NA,Compatible Lens 1,Pi16
Candela,Mini Gentlelase,NA,755,750,760,NA,Compatible Lens 2,GiT1
Candela,PicoWay,NA,1064/532,530,1070,NA,Compatible Lens 1,Pi3
Candela,PicoWay,NA,1064/532,530,1070,NA,Compatible Lens 2,GiT1
Candela,Gentle Pro,NA,755/1064,750,1070,NA,Compatible Lens 1,Pi4
Candela,Gentle Pro,NA,755/1064,750,1070,NA,Compatible Lens 2,GiT5
Candela,GentleMax,NA,755/1064,750,1070,NA,Compatible Lens 1,Pi4
Candela,GentleMax,NA,755/1064,750,1070,NA,Compatible Lens 2,GiT5
Candela,GentleMax Pro,NA,755/1064,750,1070,NA,Compatible Lens 1,Pi4
Candela,GentleMax Pro,NA,755/1064,750,1070,NA,Compatible Lens 2,GiT5
Candela,Sclero Plus,NA,585/590/595/600,585,600,NA,Compatible Lens 1,Pi7
Candela,Sclero Plus,NA,585/590/595/600,585,600,NA,Compatible Lens 2,Pi22
CAO,Precise LTM,NA,810nm,NA,NA,NA,Compatible Lens 1,Pi1
Cardio Genesis/Eclipse,Eclipse TMR 2000,NA,2100,2090,2110,NA,Compatible Lens 1,Gi1
Cardio Genesis/Eclipse,Eclipse TMR 2000,NA,2100,2090,2110,NA,Compatible Lens 2,Pi23
Clincians Choice,Clincians Choice,NA,808nm,NA,NA,NA,Compatible Lens 1,Pi1
Coherent,7910,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Coherent,7910,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Coherent,7970,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Coherent,7970,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Coherent,8900,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Coherent,8900,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Coherent,9900,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Coherent,9900,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Coherent,Aura,NA,1064,1050,1070,NA,Compatible Lens 1,Gi1
Coherent,Aura,NA,1064,1050,1070,NA,Compatible Lens 2,Pi8
Coherent,VP 2.1,NA,2100,2090,2110,NA,Compatible Lens 1,Gi1
Coherent,VP 2.1,NA,2100,2090,2110,NA,Compatible Lens 2,Pi23
Coherent,VP Select 30w,NA,2100,2090,2110,NA,Compatible Lens 1,Gi1
Coherent,VP Select 30w,NA,2100,2090,2110,NA,Compatible Lens 2,Pi23
Coherent,VP select 60,NA,2100,2090,2110,NA,Compatible Lens 1,Gi1
Coherent,VP select 60,NA,2100,2090,2110,NA,Compatible Lens 2,Pi23
